SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
Eastern Hemlock,HEM_DICK611PGP,3.6,3.6,0.9108,0.2754,0.8871,0.3541
Eastern Hemlock,HEM_DICK604PGP,4.9,8,3.273,0.7402,1.015,0.5524
Eastern Hemlock,HEM_LAWR224PGP,23,16,116.8,22.22,14.92,24.24
Eastern Hemlock,HEM_DICK300PGP,12.3,10,23.36,5.129,5.639,5.731
Eastern Hemlock,ARGS244PGP,36.1,17.98,307.9,57.54,34.4,75.96
Eastern Hemlock,HEM_DICK598PGP,35,17,276.5,52.7,33.44,71.83
Eastern Hemlock,HEM_DICK615PGP,15.7,9,34.17,7.932,9.821,11.51
Eastern Hemlock,ARGS059PGP,35,16.46,268.9,51.91,34.11,72.92
Eastern Hemlock,HEM_CLYD477PGP,3.8,6,1.566,0.3899,0.725,0.3218
Eastern Hemlock,SR5022PSP,6.9,6.32,5.172,1.309,2.331,1.531
Eastern Hemlock,HEM_DICK300PGP,27,17,167.7,31.45,19.85,36.06
Eastern Hemlock,HEM_DICK300PGP,16.1,13.5,50.78,10.09,8.073,10.18
Eastern Hemlock,ARGS021PGP,3,2.89,0.5308,0.1728,0.7027,0.2419
Eastern Hemlock,HEM_DICK178PGP,19.5,14,75.8,15.03,11.61,16.64
Eastern Hemlock,HEM_NIGH103PGP,12,7.5,17.41,4.266,6.391,6.142
Eastern Hemlock,HEM_CLYD477PGP,4.2,4,1.342,0.3933,1.134,0.5075
Eastern Hemlock,HEM_BISHA03PGP,21.2,13,83.57,17.14,14.37,21.51
Eastern Hemlock,HEM_PENT367PGP,5,8,3.403,0.7705,1.057,0.5829
Balsam Fir,FCABI200315PGP,27.3,20.3,171.5,30.64,17.79,25.6
Balsam Fir,FCBOW56-031-0PGP,40.6,18.5,328.1,66.45,53.76,116.3
Balsam Fir,FCBOW56-020-0PGP,30.4,19.25,199.6,37.18,24.78,40.0
Balsam Fir,FCTEM2002099PGP,21.4,14.4,81.55,15.08,14.16,17.02
Balsam Fir,COC1994001PSP,8.2,7,7.516,1.336,2.829,1.501
Balsam Fir,CE1027PSP,3,2.9,0.5543,0.09782,0.6021,0.1385
Balsam Fir,FCACI200208PGP,19.4,16.6,77.01,13.35,9.421,10.03
Balsam Fir,FCTEM2003027PGP,25.7,19.9,150.9,26.7,15.62,21.25
Balsam Fir,KAP1992001PSP,17,12.91,48.63,8.749,8.954,8.746
Balsam Fir,FCWEY4S2001001PGP,13.6,9.36,24.45,4.551,7.317,6.072
Balsam Fir,CE0068PSP,4.7,4.67,1.907,0.3299,1.095,0.3602
Balsam Fir,FCTEM2002067PGP,6.2,5.24,3.503,0.6291,1.934,0.8197
Balsam Fir,BP1993031PSP,11.3,8.95,16.74,3.011,4.822,3.359
Balsam Fir,TIM1999003PSP,6.3,5.51,3.767,0.6698,1.904,0.8122
Balsam Fir,CHA1995027PSP,8.6,8.25,9.454,1.624,2.653,1.432
Balsam Fir,FCNEE_KC2002189PGP,27.6,19.8,171.3,30.89,18.81,27.47
Balsam Fir,FCDOM200318PGP,3.8,4.16,1.168,0.1978,0.729,0.1985
Balsam Fir,FCWEY4S2001085PGP,3.5,5.1,1.198,0.1877,0.4713,0.1141
Balsam Fir,CE3014PSP,10.9,8.38,14.81,2.688,4.74,3.225
Balsam Fir,CE4024PSP,25.2,20.37,148.5,25.97,14.48,19.24
Balsam Fir,BP1993040PSP,15.1,14.19,42.45,7.219,5.971,5.102
Balsam Fir,FCWEY4S2001086PGP,28.7,16.8,159.7,30.45,24.97,39.02
Balsam Fir,COC1994025PSP,26,20.5,158.2,27.83,15.56,21.29
Balsam Fir,1314921PIP,11.3,11,20.01,3.397,3.825,2.569
Eastern White Cedar,1246236PIP,6.3,5.4,34.02,34.02,34.02,34.02
Eastern White Cedar,1246196PIP,7.9,5.9,46.61,46.61,46.61,46.61
Eastern White Cedar,FCTEM2004061PGP,6.4,6.1,39.04,39.04,39.04,39.04
Eastern White Cedar,FCWEY_KEN2005001PGP,33.3,12.68,422.2,422.2,422.2,422.2
Eastern White Cedar,CE3030PSP,37.9,16.2,614.0,614.0,614.0,614.0
Eastern White Cedar,1184326PIP,8.3,5,41.5,41.5,41.5,41.5
Eastern White Cedar,CE4124PSP,21.1,12.8,270.1,270.1,270.1,270.1
Eastern White Cedar,LWP1994013PSP,26.5,10,265.0,265.0,265.0,265.0
Eastern White Cedar,CHT2002039PGP,7.4,4.62,34.19,34.19,34.19,34.19
Eastern White Cedar,CHT2002032PGP,10.4,8.1,84.24,84.24,84.24,84.24
Eastern White Cedar,SR5208PSP,4.2,4.9,20.58,20.58,20.58,20.58
Eastern White Cedar,SR2230PSP,26.1,16.1,420.2,420.2,420.2,420.2
Eastern White Cedar,WWA1999009PSP,21.2,9.97,211.4,211.4,211.4,211.4
Eastern White Cedar,CE1035PSP,21.8,14.8,322.6,322.6,322.6,322.6
Eastern White Cedar,SR5414PSP,9.2,7.95,73.14,73.14,73.14,73.14
Eastern White Cedar,CE1002PSP,30.9,17.84,551.3,551.3,551.3,551.3
Eastern White Cedar,HEA1994001PSP,13.2,7.54,99.53,99.53,99.53,99.53
Eastern White Cedar,WWA1999008PSP,11.2,7.66,85.79,85.79,85.79,85.79
Eastern White Cedar,TIM1999003PSP,43.6,18.4,802.2,802.2,802.2,802.2
Eastern White Cedar,FCTEM2003046PGP,27,13.3,359.1,359.1,359.1,359.1
Eastern White Cedar,FCBOW78-1385-1PGP,10,6.14,61.4,61.4,61.4,61.4
Eastern White Cedar,FECGY610PGP,5.7,6.14,35.0,35.0,35.0,35.0
Eastern White Cedar,FCDOM200444PGP,39.9,17.11,682.7,682.7,682.7,682.7
Eastern White Cedar,SR5208PSP,16.2,10.44,169.1,169.1,169.1,169.1
American Larch,TIM2015001PSP,27.9,21.1,588.7,588.7,588.7,588.7
American Larch,FCBOW56-027-0PGP,2.6,4.72,12.27,12.27,12.27,12.27
American Larch,1239161PIP,11.6,13.5,156.6,156.6,156.6,156.6
American Larch,1184171PIP,16,10.3,164.8,164.8,164.8,164.8
American Larch,FCTEM2002006PGP,6.5,13.5,87.75,87.75,87.75,87.75
American Larch,FCTEM2002103PGP,24.3,16.9,410.7,410.7,410.7,410.7
American Larch,FCBOW12-2003-011PGP,2.8,4.16,11.65,11.65,11.65,11.65
American Larch,1184296PIP,14.2,12.2,173.2,173.2,173.2,173.2
American Larch,FCBOW4-185-1PGP,33.5,17,569.5,569.5,569.5,569.5
American Larch,BP1993016PSP,21.9,18.55,406.2,406.2,406.2,406.2
American Larch,FOR2011001PSP,25.2,19.6,493.9,493.9,493.9,493.9
American Larch,KAP2005002PGP,8.7,8.5,73.95,73.95,73.95,73.95
American Larch,MCR2005003PSP,4.8,5.29,25.39,25.39,25.39,25.39
American Larch,COC1994003PSP,13.2,9.5,125.4,125.4,125.4,125.4
American Larch,COC1994013PSP,28.5,19.2,547.2,547.2,547.2,547.2
American Larch,FCTEM2004002PGP,23.4,20.3,475.0,475.0,475.0,475.0
American Larch,HEA1992004PSP,17.1,14.93,255.3,255.3,255.3,255.3
American Larch,1197991PIP,27.7,20.2,559.5,559.5,559.5,559.5
American Larch,KEN2012001PGP,26.9,22.6,607.9,607.9,607.9,607.9
American Larch,MAN1994009PSP,5.5,7.5,41.25,41.25,41.25,41.25
American Larch,LSJP1993013PSP,37.3,24.96,931.0,931.0,931.0,931.0
American Larch,1294281PIP,2.8,3.5,9.8,9.8,9.8,9.8
American Larch,TIM2015001PSP,25.9,22.7,587.9,587.9,587.9,587.9
American Larch,1129266PIP,3.7,3.4,12.58,12.58,12.58,12.58
Sugar Maple,CE1036PSP,21.5,19,408.5,408.5,408.5,408.5
Sugar Maple,CE0012PSP,2.7,5.18,13.99,13.99,13.99,13.99
Sugar Maple,ARGS061PGP,43.9,23.47,1030.0,1030.0,1030.0,1030.0
Sugar Maple,CE4118PSP,10.3,12.4,127.7,127.7,127.7,127.7
Sugar Maple,SR0020PSP,2.6,5.86,15.24,15.24,15.24,15.24
Sugar Maple,LD1501PGP,6.6,6.6,43.56,43.56,43.56,43.56
Sugar Maple,SR2220PSP,3,5.95,17.85,17.85,17.85,17.85
Sugar Maple,HEM_MCLA192PGP,14.2,17,241.4,241.4,241.4,241.4
Sugar Maple,ARGS254PGP,10.9,12.5,136.2,136.2,136.2,136.2
Sugar Maple,SR2222PSP,16.8,15.91,267.3,267.3,267.3,267.3
Sugar Maple,CE7004PSP,2.7,4.97,13.42,13.42,13.42,13.42
Sugar Maple,CE0015PSP,2.5,3.66,9.15,9.15,9.15,9.15
Sugar Maple,ARGS177PGP,61.7,21.95,1354.0,1354.0,1354.0,1354.0
Sugar Maple,CE0034PSP,26.3,22.74,598.1,598.1,598.1,598.1
Sugar Maple,HEM_PENT073PGP,11.5,15,172.5,172.5,172.5,172.5
Sugar Maple,SR5210PSP,16.5,21.5,354.8,354.8,354.8,354.8
Sugar Maple,SR5209PSP,26.3,25.4,668.0,668.0,668.0,668.0
Sugar Maple,CE0009PSP,7.5,10.25,76.88,76.88,76.88,76.88
Sugar Maple,SR3005PSP,6.5,10.2,66.3,66.3,66.3,66.3
Sugar Maple,SR5401PSP,25.3,18.5,468.1,468.1,468.1,468.1
Sugar Maple,SR2222PSP,26.1,20.9,545.5,545.5,545.5,545.5
Sugar Maple,SR3010PSP,53.3,27.4,1460.0,1460.0,1460.0,1460.0
Sugar Maple,CE3017PSP,42.6,23,979.8,979.8,979.8,979.8
Sugar Maple,ARGS251PGP,11.7,13.41,156.9,156.9,156.9,156.9
Red Maple,CE0026PSP,25,24.7,242.3,NotAv,NotAv,NotAv
Red Maple,1232631PIP,16.6,12.57,63.55,NotAv,NotAv,NotAv
Red Maple,KLK1994037PSP,5.8,8.05,5.361,NotAv,NotAv,NotAv
Red Maple,ARGS064PGP,20.6,19.8,138.5,NotAv,NotAv,NotAv
Red Maple,CE3026PSP,9.6,13.3,21.76,NotAv,NotAv,NotAv
Red Maple,FCACI_FF200401PGP,5.8,5.84,4.216,NotAv,NotAv,NotAv
Red Maple,CE7012PSP,30.3,26.54,378.1,NotAv,NotAv,NotAv
Red Maple,FECGY920PGP,35.1,19.9,411.1,NotAv,NotAv,NotAv
Red Maple,1253146PIP,3.2,4.7,1.069,NotAv,NotAv,NotAv
Red Maple,SR1021PSP,28.5,18.9,258.9,NotAv,NotAv,NotAv
Red Maple,CE0060PSP,46.2,20.21,727.3,NotAv,NotAv,NotAv
Red Maple,SR1216PSP,27.1,21.7,259.2,NotAv,NotAv,NotAv
Red Maple,FCDOM200347PGP,13.6,14.63,47.46,NotAv,NotAv,NotAv
Red Maple,CHA1999004PSP,17.4,16.68,86.43,NotAv,NotAv,NotAv
Red Maple,SR0402PSP,32.2,26.5,427.5,NotAv,NotAv,NotAv
Red Maple,SR0208PSP,10.5,14.5,27.85,NotAv,NotAv,NotAv
Red Maple,SR1022PSP,17.6,17.9,93.26,NotAv,NotAv,NotAv
Red Maple,CE2001PSP,7.6,9,10.1,NotAv,NotAv,NotAv
Red Maple,SR2231PSP,44.1,24.5,764.2,NotAv,NotAv,NotAv
Red Maple,CE3009PSP,3.6,6.96,1.822,NotAv,NotAv,NotAv
Red Maple,TBP1992024PSP,3.4,6.46,1.534,NotAv,NotAv,NotAv
Red Maple,CE1024PSP,14.1,13.65,48.5,NotAv,NotAv,NotAv
Red Maple,CE3035PSP,4.7,6.5,2.978,NotAv,NotAv,NotAv
Red Maple,1321801PIP,15.4,12.3,53.67,NotAv,NotAv,NotAv
Silver Maple,SR0201PSP,4.2,8.22,3.306,0.4849,1.427,0.3572
Silver Maple,SR0204PSP,21.4,21,152.1,15.15,5.783,33.24
Silver Maple,SR2231PSP,26.7,20.3,213.9,22.3,9.925,80.32
Silver Maple,SR0008PSP,19.2,16.8,98.61,11.11,7.465,32.04
Silver Maple,SR0204PSP,3.7,5.71,1.777,0.3206,2.408,0.4059
Silver Maple,SR5014PSP,16.3,17.3,76.96,8.364,4.959,16.56
Silver Maple,SR0201PSP,13.4,13.91,43.2,5.244,5.266,11.42
Silver Maple,SR0201PSP,5,8.24,4.469,0.6674,2.05,0.6823
Silver Maple,SR0204PSP,12.7,14.8,42.22,4.905,4.11,8.436
Silver Maple,SR0204PSP,11.6,11.83,28.2,3.716,5.52,8.704
Silver Maple,SR5014PSP,34.3,22.8,373.7,37.34,13.08,169.0
Silver Maple,SR5417PSP,20.5,21.6,145.8,14.2,4.968,27.03
Silver Maple,SR5406PSP,45.5,24,641.7,64.16,21.25,446.0
Silver Maple,SR0201PSP,10.4,12.7,25.3,3.155,3.759,5.149
Silver Maple,SR0213PSP,31.8,25,363.5,34.06,9.134,109.4
Silver Maple,SR5014PSP,41.7,21.8,496.8,52.15,21.78,377.4
Silver Maple,SR0201PSP,4.3,7.84,3.266,0.4944,1.662,0.4217
Silver Maple,SR0016PSP,7.6,12.1,14.02,1.737,2.154,1.729
Silver Maple,SR0201PSP,3,6.28,1.379,0.2293,1.258,0.1585
Silver Maple,SR2231PSP,8.9,12.4,18.87,2.346,2.85,2.994
Silver Maple,SR5406PSP,29.4,27.5,353.3,30.96,6.294,69.76
Silver Maple,SR0213PSP,58,30.5,1269.0,112.7,21.07,743.6
Silver Maple,SR0201PSP,2.5,5.28,0.8325,0.1507,1.248,0.1068
Silver Maple,SR5014PSP,55.1,23.1,853.8,89.26,34.56,971.0
Yellow Birch,LD1201PGP,3.2,4.8,1.089,0.1808,NotAv,NotAv
Yellow Birch,ARGS127PGP,8.2,8.2,11.0,1.712,NotAv,NotAv
