Plot	PlotKey	Year	Origin	Tree Status	Tree Number	SpecCode	DBH	Height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
SR4406PSP	9127	1993	N	L	51	169	6.4	6.6							
TBP1992006PSP	2996	1992	N	L	34	13	7.7	7.6	8.0868	1.4894	2.9561	1.9562	4.9123	9.5762	14.4884
SR0216PSP	8976	2000	N	L	15	54	9.7	13.9							
SR1210PSP	9011	1994	N	L	1	60	36.3	23.5							
1225636PIP	6721	2012	N	L	16	903	11.0	10.4							
CE0026PSP	8672	1999	N	L	36	32	25.0	24.7	192.2772	24.2443	6.8611	52.0427	58.9038	216.5214	275.4253
1273661PIP	34	2017	N	L	127	1092	9.7	11							
CE2001PSP	8745	1997	N	L	62	70	6.8	9.3	8.5583	2.188	0.3806	0.7599	1.1405	10.7463	11.8868
SR0201PSP	8961	1992	N	L	43	124	17.9	21.9							
SR5407PSP	9184	1995	N	L	32	94	23.5	16.4							
SR0206PSP	8966	1998	N	L	64	55	37.9	26.9							
1314886PIP	6994	2015	N	L	42	13	26.8	20.3	186.144	24.4261	17.2492	26.3109	43.5601	210.5701	254.1301
HEM_PENT367PGP	12257	1991	N	L	7	19	19.4	17	72.3374	13.8444	11.9807	17.9356	29.9163	86.1819	116.0982
CE7010PSP	8888	2004	N	L	61	44	14.4	16.45	67.9652	4.7046	2.8026	20.4741	23.2767	72.6698	95.9465
SR1209PSP	9010	2005	N	L	19	94	24.1	20.1							
FCWEY_KEN2003027PGP	6506	2008	N	L	168	38	6.3	4.59	5.9359	1.1298	1.1071	1.4832	2.5903	7.0656	9.656
ACH_KPGP	12069	1978	N	L	86	2	30.7	21.7	245.2241	21.223	25.3061	40.7732	66.0793	266.4471	332.5264
1253101PIP	9	2017	N	L	73	1092	14.7	11.3							
SR1022PSP	8999	2005	N	L	36	40	21.6	19.8	99.061	15.0363	4.574	35.548	40.122	114.0973	154.2193
HEA1995002PSP	3350	2014	N	L	47	12	10.2	9.4	14.2811	2.4348	4.8307	3.5645	8.3952	16.7159	25.111
SR0016PSP	8956	1995	N	L	27	51	5.2	8.54	2.9885	0.9592	0.4286	0.9211	1.3497	3.9476	5.2973
WWA1995021PSP	3111	2014	N	L	34	1091	11.0	9.6							
WWA1993003PSP	3088	1993	N	L	54	2	4.0	3.54	1.6758	0.3236	0.3732	0.1497	0.5229	1.9994	2.5223
SR4001PSP	9086	1993	N	L	21	44	37.2	26.5	602.1774	39.3834	12.9961	193.7525	206.7486	641.5607	848.3094
SR4408PSP	9129	1994	N	L	108	41	23.0	15.1	154.007	27.4997	7.0997	51.7202	58.8199	181.5067	240.3267
LD1201PGP	10725	2015	N	L	176	37	3.2	4.8	2.3745	0.2622	0.5684	0.4999	1.0683	2.6367	3.705
FCTEM2003007PGP	5963	2008	N	L	161	73	36.6	18.7	348.8453	59.779	9.4644	72.0001	81.4645	408.6243	490.0888
SR5023PSP	9160	1999	N	L	51	5	16.8	10.6							
1191231PIP	6615	2012	N	L	4	903	9.4	6.9							
SR2013PSP	9035	2016	N	L	66	46	27.1	27	236.7415	29.2905	6.3535	72.0996	78.4531	266.032	344.485
HEM_BRUT399PGP	12090	1991	N	L	4	1001	10.2	12							
BP1994012PSP	3222	2021	N	L	570	1091	7.6	8.1							
HEM_DICK300PGP	12144	1991	N	L	2	19	27.5	20	166.083	31.1939	21.6774	39.5348	61.2122	197.2768	258.4891
SR5024PSP	9161	1997	N	L	35	124	2.9	6.74							
CE3026PSP	8785	2006	N	L	37	70	41.8	27.4	602.8852	124.1786	14.7774	93.9893	108.7667	727.0638	835.8305
