BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-22 10:33:54
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
FCDOM200243PGP	5470	2012	N	L	201	139	12.2	13.1	N/A	N/A	N/A	N/A	N/A	N/A
SR1003PSP	8987	2013	N	L	48	89	42.3	27.9	N/A	N/A	N/A	N/A	N/A	N/A
CE3029PSP	8788	2004	N	L	74	42	4.2	3.8	N/A	N/A	N/A	N/A	N/A	N/A
LD0803PGP	10707	2006	N	L	35	51	15.5	15.1	9.4808	2.5640	10.6152	13.1792	51.0407	64.2199
FCWEY_KEN2005001PGP	6569	2005	N	L	240	22	33.3	12.68	20.8837	21.3098	29.7552	51.0650	173.4212	224.4862
SR1015PSP	8992	2005	N	L	97	88	36	22.5	N/A	N/A	N/A	N/A	N/A	N/A
ACH_MPGP	12071	1953	N	L	31	1	12.4	13.7	N/A	N/A	N/A	N/A	N/A	N/A
SR0204PSP	8964	1993	N	L	20	33	21.4	21	14.5371	6.7452	37.5061	44.2513	159.1161	203.3674
KAP1992001PGP	7569	2002	N	L	206	73	33.1	21.77	48.3398	8.0410	56.4736	64.5146	320.9589	385.4735
SR0216PSP	8976	2000	N	L	9	124	25.7	22.2	N/A	N/A	N/A	N/A	N/A	N/A
LD1506PGP	10745	2015	N	L	94	45	4.4	6.5	0.7000	0.4026	0.8384	1.2410	3.7558	4.9967
SR4424PSP	9141	1995	N	L	6	169	29.8	20.5	N/A	N/A	N/A	N/A	N/A	N/A
LSJP1994009PSP	3472	2013	N	L	96	12	8	5.35	1.3917	3.3824	2.1493	5.5317	9.0267	14.5584
SR5004PSP	9147	1993	N	L	44	40	49.8	21.3	78.8984	20.3692	317.4580	337.8272	774.6267	1112.4539
FCBOW56-020-0PGP	4878	2006	N	L	105	20	30.4	19.25	34.9203	25.1152	40.9720	66.0872	230.3032	296.3903
ARGS127PGP	11917	1998	N	L	53	37	8.2	8.2	2.1732	2.1169	4.8026	6.9195	20.2454	27.1649
GGM1994013PSP	3310	1994	N	L	43	12	27.4	21.36	23.6836	20.5860	27.9007	48.4866	206.0297	254.5163
LWP1995051PSP	2925	2003	N	L	447	38	8.4	12.16	2.2569	1.7721	3.0917	4.8638	14.4511	19.3149
SR5003PSP	9146	1992	N	L	14	123	6	5.45	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2003059PGP	6030	2013	N	L	120	3	22.6	17.5	11.7011	8.5350	14.7393	23.2743	156.4677	179.7419
CE3000PSP	8759	1997	N	L	6	2	6.8	8.2	0.9617	1.1189	0.6444	1.7633	7.0995	8.8628
LD1905PGP	10763	2011	N	L	16	37	7.5	9.7	1.7783	1.8688	3.8752	5.7440	16.6865	22.4305
SR0209PSP	8969	1998	N	L	29	60	24.4	28.9	N/A	N/A	N/A	N/A	N/A	N/A
CE0012PSP	8658	1994	N	L	52	30	2.7	5.18	N/A	N/A	N/A	N/A	N/A	N/A
SR5417PSP	9194	1999	N	L	12	170	25.7	18.7	N/A	N/A	N/A	N/A	N/A	N/A
CE4122PSP	8842	1995	N	L	31	19	9.9	9.08	2.8910	3.8189	3.9073	7.7262	17.4588	25.1850
SR1202PSP	9003	2000	N	L	38	124	25.5	24	N/A	N/A	N/A	N/A	N/A	N/A
SR5404PSP	9181	1993	N	L	37	177	31.7	25.8	N/A	N/A	N/A	N/A	N/A	N/A
