BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-18 09:45:54
Total records: 17664

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)
SR1207PSP	9008	2000	N	L	35	90	30.9	26.2	N/A
FCWEY_KEN2003016PGP	6495	2003	N	L	240	13	13.6	14.01	33.8087
1328611PIP	60	2008	N	L	28	42	13.3	6.2	N/A
CE5007PSP	8863	2001	N	L	54	41	9.4	11.9	22.2609
HEM_DICK300PGP	12144	1991	N	L	3	19	12.3	10	24.4317
SR1001PSP	8985	1992	N	L	93	1196	2.7	5.44	N/A
SR4406PSP	9127	1999	N	L	50	46	11.3	13.8	35.5829
SR0201PSP	8961	1997	N	L	40	50	15.3	14.6	45.8357
ARGS061PGP	11852	1982	N	L	26	56	9.4	12.8	N/A
ARGS266PGP	12056	1982	N	L	28	51	16.3	18.29	46.9192
SR1023PSP	9000	1995	N	L	70	124	29.5	22.8	N/A
SR1401PSP	9018	1992	N	L	31	56	29.6	16.5	N/A
SR0205PSP	8965	1998	N	L	94	88	29.6	21.9	N/A
LD1501PGP	10740	2010	N	L	23	30	6.6	6.6	N/A
SR0012PSP	8952	1998	N	L	23	60	60.3	25.9	N/A
SR1003PSP	8987	1998	N	L	62	51	57.4	29.7	975.1373
SR2206PSP	9045	1993	N	L	32	44	4.9	7.32	5.7037
SR0201PSP	8961	1992	N	L	124	94	7.5	10.6	N/A
1273811PIP	6795	2013	N	L	76	56	6.0	6.2	N/A
SR5404PSP	9181	2012	N	L	60	177	10.7	14.1	N/A
SR0201PSP	8961	1992	N	L	73	33	13.4	13.91	54.0949
GGM1994017PSP	3314	1994	N	L	37	3	32.0	24.7	334.0313
CE3030PSP	8789	1999	N	L	6	45	31.3	20.9	306.7417
SR0206PSP	8966	1998	N	L	47	50	52.7	27.8	1114.7723
SR2211PSP	9049	2001	N	L	9	55	22.0	20.5	N/A
CE1027PSP	8732	1993	N	L	4	20	3.0	2.9	0.7483
HEM_DICK862PGP	12157	1990	N	L	30	1001	8.5	15	N/A
ACH_MPGP	12071	1953	N	L	32	1	26.7	21.3	N/A
CE7014PSP	8892	2004	N	L	50	1	4.0	4.1	N/A
LWP1994013PSP	2922	2003	N	L	149	1	19.9	11.49	N/A
SR0013PSP	8953	1994	N	L	46	44	16.0	16.2	86.5894
SR1213PSP	9014	2000	N	L	25	90	3.3	5.2	N/A
FCDOM200139PGP	5390	2006	N	L	19	38	11.7	11.51	27.9445
SR5020PSP	9158	1999	N	L	32	47	5.9	10.9	7.5499
