BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-21 12:37:34
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)	Bark (KG)	Branch (KG)	Foliage (KG)	Stem (KG)	Crown (KG)	Total (KG)
CE3029PSP	8788	2004	N	L	74	42	4.2	3.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LD0803PGP	10707	2006	N	L	35	51	15.5	15.1	44.3799	9.9716	9.8681	2.2163	54.3514	12.0843	66.4358
FCWEY_KEN2005001PGP	6569	2005	N	L	240	22	33.3	12.68	126.4609	18.9010	36.5756	25.9798	145.3619	62.5554	207.9173
SR1015PSP	8992	2005	N	L	97	88	36	22.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACH_MPGP	12071	1953	N	L	31	1	12.4	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0204PSP	8964	1993	N	L	20	33	21.4	21	152.0651	15.1475	33.2429	5.7825	167.2126	39.0254	206.2380
KAP1992001PGP	7569	2002	N	L	206	73	33.1	21.77	279.6570	50.0112	60.4112	7.9496	329.6682	68.3608	398.0290
SR0216PSP	8976	2000	N	L	9	124	25.7	22.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LD1506PGP	10745	2015	N	L	94	45	4.4	6.5	2.2771	0.8877	0.9960	0.2943	3.1648	1.2903	4.4551
SR4424PSP	9141	1995	N	L	6	169	29.8	20.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LSJP1994009PSP	3472	2013	N	L	96	12	8	5.35	5.6673	1.2528	2.6762	4.4279	6.9201	7.1040	14.0242
SR5004PSP	9147	1993	N	L	44	40	49.8	21.3	740.2560	83.2918	415.3113	25.3856	823.5478	440.6969	1264.2447
FCBOW56-020-0PGP	4878	2006	N	L	105	20	30.4	19.25	199.6211	37.1781	40.0034	24.7767	236.7992	64.7801	301.5793
ARGS127PGP	11917	1998	N	L	53	37	8.2	8.2	10.9986	1.7120	4.9138	2.4687	12.7106	7.3826	20.0932
GGM1994013PSP	3310	1994	N	L	43	12	27.4	21.36	198.7909	24.8263	25.4942	17.8332	223.6173	43.3274	266.9446
LWP1995051PSP	2925	2003	N	L	447	38	8.4	12.16	15.4298	2.8273	2.1048	1.1736	18.2571	3.2783	21.5354
SR5003PSP	9146	1992	N	L	14	123	6	5.45	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2003059PGP	6030	2013	N	L	120	3	22.6	17.5	135.9323	11.3621	15.4316	8.5683	147.2943	23.9999	171.2942
CE3000PSP	8759	1997	N	L	6	2	6.8	8.2	5.1872	1.3542	0.6687	1.3836	6.5414	2.0523	8.5937
LD1905PGP	10763	2011	N	L	16	37	7.5	9.7	10.9248	1.5558	3.9718	2.2030	12.4806	6.1748	18.6554
SR0209PSP	8969	1998	N	L	29	60	24.4	28.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE0012PSP	8658	1994	N	L	52	30	2.7	5.18	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5417PSP	9194	1999	N	L	12	170	25.7	18.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE4122PSP	8842	1995	N	L	31	19	9.9	9.08	14.1538	3.1827	3.3696	3.8647	17.3365	7.2343	24.5708
SR1202PSP	9003	2000	N	L	38	124	25.5	24	N/A	N/A	N/A	N/A	N/A	N/A	N/A
