SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
12,White Spruce,FCDOM200435PGP,5.8,4.52,3.333,0.6638,2.11,1.1
12,White Spruce,CHT2002019PGP,38,23.33,423.6,50.28,33.26,55.13
12,White Spruce,CHT2002034PGP,45.2,26.57,662.5,74.98,42.9,79.12
12,White Spruce,1253116PIP,15.2,12.9,39.93,6.1,8.673,8.18
12,White Spruce,FCTEM2002047PGP,31.7,23.04,265.5,33.13,25.49,37.8
12,White Spruce,FCTEM2001093PGP,23.2,14.8,118.8,16.15,16.13,19.73
12,White Spruce,ACH_CPGP,33.5,28.2,306.1,37.62,27.65,42.4
12,White Spruce,FCTEM2001118PGP,7,5.18,5.412,1.023,2.781,1.628
12,White Spruce,COC2019001PSP,6.1,4.5,3.796,0.7455,2.272,1.222
12,White Spruce,CHA1995012PSP,12.1,8.3,22.18,3.608,6.206,5.087
12,White Spruce,CE0071PSP,38.4,26.5,435.2,51.51,33.78,56.34
12,White Spruce,FCTEM2003046PGP,15.5,12.9,41.99,6.38,8.925,8.52
12,White Spruce,FCBUC_LH200706PGP,23.5,10.3,122.8,16.63,16.43,20.27
12,White Spruce,FCBOW56-021-0PGP,18.7,10.4,68.12,9.829,11.75,12.59
12,White Spruce,BP1993040PSP,29.2,21.03,214.8,27.42,22.6,31.85
13,Black Spruce,TBP1992006PSP,7.7,7.6,8.087,1.489,2.956,1.956
13,Black Spruce,1314886PIP,26.8,20.3,186.1,24.43,17.25,26.31
13,Black Spruce,FCTEM_KAP2000046PGP,21,16.27,100.8,14.14,12.22,15.83
13,Black Spruce,LSJP1993012PSP,16.6,11.05,55.81,8.342,8.761,9.697
13,Black Spruce,FCWEY_KEN2003016PGP,13.6,14.01,33.81,5.335,6.609,6.401
13,Black Spruce,FCTEM2003074PGP,25.2,22.01,159.4,21.28,15.81,23.14
13,Black Spruce,LSJP1994003PSP,4.6,5.11,2.214,0.469,1.427,0.6686
13,Black Spruce,SUD2004003PGP,7.1,5.22,6.594,1.242,2.636,1.652
13,Black Spruce,GCF1994008PGP,25.4,18.54,162.6,21.66,15.99,23.53
13,Black Spruce,CHA1995002PSP,5,5.2,2.73,0.5655,1.605,0.7955
13,Black Spruce,BP1993015PSP,9.2,7.42,12.65,2.22,3.802,2.835
13,Black Spruce,1170511PIP,8.1,6.3,9.185,1.669,3.176,2.174
13,Black Spruce,1211956PIP,11.5,10.4,22.17,3.662,5.213,4.513
13,Black Spruce,1143071PIP,18.8,12,76.32,11.03,10.45,12.57
13,Black Spruce,1184261PIP,30.3,27,253.5,32.17,20.52,33.98
13,Black Spruce,FCTEM2002012PGP,27.2,17.64,193.2,25.25,17.61,27.14
13,Black Spruce,KLK1994043PSP,9.4,8.7,13.35,2.33,3.92,2.964
13,Black Spruce,FCWEY_KEN2003021PGP,20.4,16.8,93.72,13.25,11.73,14.9
13,Black Spruce,FCBOW78-003-0PGP,29.8,19.4,243.1,30.99,20.04,32.82
13,Black Spruce,FCBOW12-167-4PGP,28.2,22.49,211.6,27.38,18.54,29.26
13,Black Spruce,FCACI_KE200005PGP,13.8,13.85,35.07,5.512,6.747,6.598
13,Black Spruce,FCBOW56-2006-06PGP,27.2,21.84,193.2,25.25,17.61,27.14
13,Black Spruce,FCABI200322PGP,22.7,19.1,122.6,16.83,13.64,18.62
13,Black Spruce,FCWEY4S2001067PGP,3.7,3.64,1.28,0.2878,1.048,0.4247
14,Red Spruce,HEM_LAWR130PGP,24.1,20,140.6,17.06,14.65,16.79
14,Red Spruce,NOR2013002PSP,21.5,18.6,108.4,13.44,11.11,11.55
14,Red Spruce,NOR2013002PSP,39.7,23,439.2,48.44,49.06,86.1
14,Red Spruce,HEM_LAWR228PGP,40,14,446.8,49.21,49.96,88.25
14,Red Spruce,HEM_LAWR228PGP,43.4,22.4,538.2,58.36,60.87,115.3
14,Red Spruce,NOR2013002PSP,23.6,17.3,134.1,16.33,13.92,15.68
14,Red Spruce,NOR2013002PSP,37.1,19.6,376.3,42.04,41.64,68.97
14,Red Spruce,NOR2013002PSP,18.7,12.1,78.85,10.04,7.926,7.316
14,Red Spruce,HEM_PECK614PGP,6.9,5,8.109,1.248,0.709,0.2794
14,Red Spruce,HEM_CLYD204PGP,47.8,7,670.9,71.41,76.9,158.2
14,Red Spruce,NOR2013002PSP,26.4,17,173.2,20.64,18.27,22.63
14,Red Spruce,CE1005PSP,3.6,3.8,1.838,0.3203,0.1467,0.03318
14,Red Spruce,HEM_LAWR130PGP,9.4,7,16.42,2.383,1.499,0.7691
14,Red Spruce,NOR2013002PSP,14.9,16.4,46.96,6.242,4.573,3.477
14,Red Spruce,NOR2013002PSP,17.1,16.3,64.29,8.325,6.383,5.458
14,Red Spruce,NOR2013002PSP,13.1,8.5,35.01,4.769,3.348,2.281
14,Red Spruce,NOR2013002PSP,21.7,13,110.7,13.7,11.36,11.91
14,Red Spruce,NOR2013002PSP,29.6,19.1,224.8,26.22,24.1,32.92
14,Red Spruce,CE1005PSP,3.5,3.43,1.724,0.302,0.1371,0.03025
14,Red Spruce,NOR2013002PSP,25.7,19.6,162.9,19.51,17.12,20.73
19,Eastern Hemlock,HEM_PENT367PGP,19.4,17,72.34,13.84,11.98,17.94
19,Eastern Hemlock,HEM_DICK300PGP,27.5,20,166.1,31.19,21.68,39.53
19,Eastern Hemlock,SR5022PSP,29.3,17.55,193.2,36.16,24.14,45.64
19,Eastern Hemlock,CE4122PSP,9.9,9.08,14.57,2.891,3.819,3.907
19,Eastern Hemlock,HEM_DEVI944PGP,44.5,22,522.7,95.66,49.12,117.6
19,Eastern Hemlock,ARGS060PGP,26.7,17.37,154.8,29.12,20.62,36.98
19,Eastern Hemlock,HEM_DICK611PGP,3.6,3.6,1.309,0.2743,0.6844,0.395
19,Eastern Hemlock,HEM_DICK604PGP,4.9,8,2.728,0.5622,1.156,0.7943
19,Eastern Hemlock,HEM_LAWR224PGP,23,16,108.5,20.58,16.0,26.37
19,Eastern Hemlock,HEM_DICK300PGP,12.3,10,24.43,4.792,5.523,6.389
19,Eastern Hemlock,ARGS244PGP,36.1,17.98,317.6,58.78,34.42,73.23
19,Eastern Hemlock,HEM_DICK598PGP,35,17,295.0,54.69,32.66,68.27
19,Eastern Hemlock,HEM_DICK615PGP,15.7,9,43.7,8.459,8.362,11.11
19,Eastern Hemlock,ARGS059PGP,35,16.46,295.0,54.69,32.66,68.27
19,Eastern Hemlock,HEM_CLYD477PGP,3.8,6,1.489,0.3111,0.7502,0.4465
19,Eastern Hemlock,SR5022PSP,6.9,6.32,6.165,1.247,2.068,1.725
19,Eastern Hemlock,HEM_DICK300PGP,27,17,159.0,29.89,21.01,37.93
19,Eastern Hemlock,HEM_DICK300PGP,16.1,13.5,46.39,8.969,8.727,11.76
19,Eastern Hemlock,ARGS021PGP,3,2.89,0.8477,0.1794,0.502,0.2614
19,Eastern Hemlock,HEM_DICK178PGP,19.5,14,73.23,14.01,12.09,18.15
19,Eastern Hemlock,HEM_NIGH103PGP,12,7.5,23.04,4.524,5.296,6.041
19,Eastern Hemlock,HEM_CLYD477PGP,4.2,4,1.889,0.3927,0.8894,0.5602
19,Eastern Hemlock,HEM_BISHA03PGP,21.2,13,89.36,17.02,13.93,21.93
19,Eastern Hemlock,HEM_PENT367PGP,5,8,2.862,0.5893,1.196,0.8315
20,Balsam Fir,FCABI200315PGP,27.3,20.3,150.9,27.13,20.99,31.18
20,Balsam Fir,FCBOW56-031-0PGP,40.6,18.5,391.6,68.89,40.71,85.45
20,Balsam Fir,FCBOW56-020-0PGP,30.4,19.25,195.4,34.92,25.12,40.97
20,Balsam Fir,FCTEM2002099PGP,21.4,14.4,84.05,15.31,13.98,16.79
20,Balsam Fir,COC1994001PSP,8.2,7,8.384,1.61,2.818,1.468
20,Balsam Fir,CE1027PSP,3,2.9,0.7483,0.1518,0.5258,0.1141
20,Balsam Fir,FCACI200208PGP,19.4,16.6,66.39,12.16,11.86,13.09
20,Balsam Fir,FCTEM2003027PGP,25.7,19.9,130.5,23.54,18.97,26.74
20,Balsam Fir,KAP1992001PSP,17,12.91,48.34,8.918,9.517,9.358
20,Balsam Fir,FCWEY4S2001001PGP,13.6,9.36,28.28,5.281,6.557,5.308
20,Balsam Fir,CE0068PSP,4.7,4.67,2.201,0.4356,1.113,0.357
20,Balsam Fir,FCTEM2002067PGP,6.2,5.24,4.282,0.8347,1.767,0.7215
20,Balsam Fir,BP1993031PSP,11.3,8.95,18.12,3.418,4.813,3.316
20,Balsam Fir,TIM1999003PSP,6.3,5.51,4.45,0.8667,1.815,0.7515
20,Balsam Fir,CHA1995027PSP,8.6,8.25,9.4,1.8,3.051,1.657
20,Balsam Fir,FCNEE_KC2002189PGP,27.6,19.8,154.9,27.83,21.37,32.05
20,Balsam Fir,FCDOM200318PGP,3.8,4.16,1.321,0.2644,0.7802,0.208
20,Balsam Fir,FCWEY4S2001085PGP,3.5,5.1,1.084,0.218,0.6801,0.1688
20,Balsam Fir,CE3014PSP,10.9,8.38,16.61,3.14,4.532,3.025
20,Balsam Fir,CE4024PSP,25.2,20.37,124.5,22.48,18.36,25.44
20,Balsam Fir,BP1993040PSP,15.1,14.19,36.36,6.752,7.809,6.925
20,Balsam Fir,FCWEY4S2001086PGP,28.7,16.8,170.1,30.51,22.81,35.4
20,Balsam Fir,COC1994025PSP,26,20.5,134.2,24.19,19.35,27.54
20,Balsam Fir,1314921PIP,11.3,11,18.12,3.418,4.813,3.316
22,Eastern White Cedar,1246236PIP,6.3,5.4,6.3,6.3,6.3,6.3
22,Eastern White Cedar,1246196PIP,7.9,5.9,7.9,7.9,7.9,7.9
22,Eastern White Cedar,FCTEM2004061PGP,6.4,6.1,6.4,6.4,6.4,6.4
22,Eastern White Cedar,FCWEY_KEN2005001PGP,33.3,12.68,33.3,33.3,33.3,33.3
22,Eastern White Cedar,CE3030PSP,37.9,16.2,37.9,37.9,37.9,37.9
22,Eastern White Cedar,1184326PIP,8.3,5,8.3,8.3,8.3,8.3
22,Eastern White Cedar,CE4124PSP,21.1,12.8,21.1,21.1,21.1,21.1
22,Eastern White Cedar,LWP1994013PSP,26.5,10,26.5,26.5,26.5,26.5
22,Eastern White Cedar,CHT2002039PGP,7.4,4.62,7.4,7.4,7.4,7.4
22,Eastern White Cedar,CHT2002032PGP,10.4,8.1,10.4,10.4,10.4,10.4
22,Eastern White Cedar,SR5208PSP,4.2,4.9,4.2,4.2,4.2,4.2
22,Eastern White Cedar,SR2230PSP,26.1,16.1,26.1,26.1,26.1,26.1
22,Eastern White Cedar,WWA1999009PSP,21.2,9.97,21.2,21.2,21.2,21.2
22,Eastern White Cedar,CE1035PSP,21.8,14.8,21.8,21.8,21.8,21.8
22,Eastern White Cedar,SR5414PSP,9.2,7.95,9.2,9.2,9.2,9.2
22,Eastern White Cedar,CE1002PSP,30.9,17.84,30.9,30.9,30.9,30.9
22,Eastern White Cedar,HEA1994001PSP,13.2,7.54,13.2,13.2,13.2,13.2
22,Eastern White Cedar,WWA1999008PSP,11.2,7.66,11.2,11.2,11.2,11.2
22,Eastern White Cedar,TIM1999003PSP,43.6,18.4,43.6,43.6,43.6,43.6
22,Eastern White Cedar,FCTEM2003046PGP,27,13.3,27.0,27.0,27.0,27.0
22,Eastern White Cedar,FCBOW78-1385-1PGP,10,6.14,10.0,10.0,10.0,10.0
22,Eastern White Cedar,FECGY610PGP,5.7,6.14,5.7,5.7,5.7,5.7
22,Eastern White Cedar,FCDOM200444PGP,39.9,17.11,39.9,39.9,39.9,39.9
22,Eastern White Cedar,SR5208PSP,16.2,10.44,16.2,16.2,16.2,16.2
25,American Larch,TIM2015001PSP,27.9,21.1,27.9,27.9,27.9,27.9
25,American Larch,FCBOW56-027-0PGP,2.6,4.72,2.6,2.6,2.6,2.6
25,American Larch,1239161PIP,11.6,13.5,11.6,11.6,11.6,11.6
25,American Larch,1184171PIP,16,10.3,16.0,16.0,16.0,16.0
25,American Larch,FCTEM2002006PGP,6.5,13.5,6.5,6.5,6.5,6.5
25,American Larch,FCTEM2002103PGP,24.3,16.9,24.3,24.3,24.3,24.3
25,American Larch,FCBOW12-2003-011PGP,2.8,4.16,2.8,2.8,2.8,2.8
25,American Larch,1184296PIP,14.2,12.2,14.2,14.2,14.2,14.2
25,American Larch,FCBOW4-185-1PGP,33.5,17,33.5,33.5,33.5,33.5
25,American Larch,BP1993016PSP,21.9,18.55,21.9,21.9,21.9,21.9
25,American Larch,FOR2011001PSP,25.2,19.6,25.2,25.2,25.2,25.2
25,American Larch,KAP2005002PGP,8.7,8.5,8.7,8.7,8.7,8.7
25,American Larch,MCR2005003PSP,4.8,5.29,4.8,4.8,4.8,4.8
25,American Larch,COC1994003PSP,13.2,9.5,13.2,13.2,13.2,13.2
25,American Larch,COC1994013PSP,28.5,19.2,28.5,28.5,28.5,28.5
25,American Larch,FCTEM2004002PGP,23.4,20.3,23.4,23.4,23.4,23.4
25,American Larch,HEA1992004PSP,17.1,14.93,17.1,17.1,17.1,17.1
25,American Larch,1197991PIP,27.7,20.2,27.7,27.7,27.7,27.7
25,American Larch,KEN2012001PGP,26.9,22.6,26.9,26.9,26.9,26.9
25,American Larch,MAN1994009PSP,5.5,7.5,5.5,5.5,5.5,5.5
25,American Larch,LSJP1993013PSP,37.3,24.96,37.3,37.3,37.3,37.3
25,American Larch,1294281PIP,2.8,3.5,2.8,2.8,2.8,2.8
25,American Larch,TIM2015001PSP,25.9,22.7,25.9,25.9,25.9,25.9
25,American Larch,1129266PIP,3.7,3.4,3.7,3.7,3.7,3.7
30,Sugar Maple,CE1036PSP,21.5,19,21.5,21.5,21.5,21.5
30,Sugar Maple,CE0012PSP,2.7,5.18,2.7,2.7,2.7,2.7
30,Sugar Maple,ARGS061PGP,43.9,23.47,43.9,43.9,43.9,43.9
30,Sugar Maple,CE4118PSP,10.3,12.4,10.3,10.3,10.3,10.3
30,Sugar Maple,SR0020PSP,2.6,5.86,2.6,2.6,2.6,2.6
30,Sugar Maple,LD1501PGP,6.6,6.6,6.6,6.6,6.6,6.6
30,Sugar Maple,SR2220PSP,3,5.95,3.0,3.0,3.0,3.0
30,Sugar Maple,HEM_MCLA192PGP,14.2,17,14.2,14.2,14.2,14.2
30,Sugar Maple,ARGS254PGP,10.9,12.5,10.9,10.9,10.9,10.9
30,Sugar Maple,SR2222PSP,16.8,15.91,16.8,16.8,16.8,16.8
30,Sugar Maple,CE7004PSP,2.7,4.97,2.7,2.7,2.7,2.7
30,Sugar Maple,CE0015PSP,2.5,3.66,2.5,2.5,2.5,2.5
30,Sugar Maple,ARGS177PGP,61.7,21.95,61.7,61.7,61.7,61.7
30,Sugar Maple,CE0034PSP,26.3,22.74,26.3,26.3,26.3,26.3
30,Sugar Maple,HEM_PENT073PGP,11.5,15,11.5,11.5,11.5,11.5
