SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
5,Pitch Pine,SR5023PSP,7.4,4.82,35.67,35.67,35.67,35.67
5,Pitch Pine,SR5023PSP,31.7,13.1,415.3,415.3,415.3,415.3
5,Pitch Pine,SR5023PSP,9.2,6.71,61.73,61.73,61.73,61.73
5,Pitch Pine,SR5023PSP,26.3,14.4,378.7,378.7,378.7,378.7
5,Pitch Pine,SR5023PSP,28.9,14.1,407.5,407.5,407.5,407.5
5,Pitch Pine,SR5023PSP,18,9.25,166.5,166.5,166.5,166.5
5,Pitch Pine,SR5023PSP,9.4,8.19,76.99,76.99,76.99,76.99
5,Pitch Pine,SR5023PSP,26.5,8.98,238.0,238.0,238.0,238.0
5,Pitch Pine,SR5023PSP,11.2,7.51,84.11,84.11,84.11,84.11
5,Pitch Pine,SR5023PSP,5.5,8,44.0,44.0,44.0,44.0
5,Pitch Pine,SR5023PSP,12,7.8,93.6,93.6,93.6,93.6
5,Pitch Pine,SR5023PSP,20.8,8.8,183.0,183.0,183.0,183.0
5,Pitch Pine,SR5023PSP,5.6,4.87,27.27,27.27,27.27,27.27
5,Pitch Pine,SR5023PSP,4.1,5.01,20.54,20.54,20.54,20.54
5,Pitch Pine,SR5023PSP,6,5,30.0,30.0,30.0,30.0
5,Pitch Pine,SR5401PSP,50.2,24.7,1240.0,1240.0,1240.0,1240.0
5,Pitch Pine,SR5023PSP,11.7,9.25,108.2,108.2,108.2,108.2
12,White Spruce,FCTEM2004040PGP,33.7,24.4,328.1,38.45,25.18,40.79
12,White Spruce,CHA2008002PSP,4.2,3.5,1.179,0.3189,1.53,0.6253
12,White Spruce,HEA1995002PSP,10.2,9.4,15.17,2.727,4.222,3.203
12,White Spruce,LSJP1994009PSP,8,5.35,5.667,1.253,4.428,2.676
12,White Spruce,GGM1994013PSP,27.4,21.36,198.8,24.83,17.83,25.49
12,White Spruce,FCBOW78-2626-6PGP,9.3,8.91,12.2,2.252,3.597,2.583
12,White Spruce,FCTEM2001018PGP,4.3,4.26,1.49,0.377,1.301,0.559
12,White Spruce,CE7003PSP,3.1,2.6,0.512,0.1571,1.033,0.3444
12,White Spruce,FCTEM2004058PGP,24.5,18.12,138.6,18.46,16.4,21.52
12,White Spruce,FCDOM200435PGP,5.8,4.52,2.7,0.6508,2.483,1.245
12,White Spruce,CHT2002019PGP,38,23.33,389.6,45.78,35.22,59.88
12,White Spruce,CHT2002034PGP,45.2,26.57,603.8,66.86,46.07,87.31
12,White Spruce,1253116PIP,15.2,12.9,42.25,6.588,7.679,7.501
12,White Spruce,FCTEM2002047PGP,31.7,23.04,278.0,33.39,23.2,36.08
12,White Spruce,FCTEM2001093PGP,23.2,14.8,103.2,14.76,18.04,22.15
12,White Spruce,ACH_CPGP,33.5,28.2,373.7,41.81,21.14,35.14
