PlotName	PlotKey	FieldSeasonYear	StandOriginCode	TreeStatusCode	TreeNum	SpecCode	DBH	HtTot
SR2220PSP	9052	1994	N	L	26	30	3	5.95
HEM_DICK598PGP	12146	1991	N	L	11	1001	14	12.5
SR0209PSP	8969	1994	N	L	19	60	17.6	22
SR0201PSP	8961	1992	N	L	7	39	52.9	32
SR1001PSP	8985	2007	N	L	93	1196	6.7	10.2
CE1007PSP	8714	1993	N	L	87	1	2.6	3.16
LD0306PGP	10681	2012	N	L	87	1001	8.5	8.4
SR0216PSP	8976	1995	N	L	14	42	43.6	23
SR1401PSP	9018	2012	N	L	22	58	24.8	24.4
CE6205PSP	8875	1999	N	L	23	50	15.1	17.9
KLK1994037PSP	3427	2005	N	L	16	32	5.8	8.05
SR1201PSP	9002	2007	N	L	54	51	28.9	21
NOR2013002PSP	11781	2013	N	L	72	14	39.7	23
ARGS064PGP	11855	1982	N	L	4	32	20.6	19.8
1239491PIP	10556	2017	N	L	72	1005	7.5	9.9
CE3026PSP	8785	1998	N	L	3	32	9.6	13.3
FCACI_FF200401PGP	4548	2004	N	L	73	32	5.8	5.84
FCNEE_KC2000147PGP	5220	2000	N	L	160	73	3.2	4.95
SR0406PSP	8983	1998	N	L	31	40	35.9	25.8
1253101PIP	9	2007	N	L	82	1092	19	13.9
HEM_MCLA192PGP	12213	1991	N	L	13	30	14.2	17
HEM_LAWR228PGP	12201	1991	N	L	13	14	40	14
ARGS053PGP	11844	1977	N	L	11	56	28.7	20.73
SR0201PSP	8961	1992	N	L	28	39	32.5	23.4
CE7000PSP	8878	2004	N	L	26	51	7.7	7.85
FCTEM2003074PGP	6045	2003	N	L	67	13	25.2	22.01
SR0204PSP	8964	1993	N	L	30	39	34.4	19
SR1015PSP	8992	2009	N	L	97	88	36.9	22.3
FCDOM200435PGP	5586	2009	N	L	201	12	5.8	4.52
1184171PIP	10327	2016	N	L	41	25	16	10.3
CE4117PSP	8837	1995	N	L	14	56	9.5	10.3
ARGS254PGP	12044	1977	N	L	10	30	10.9	12.5
SR5023PSP	9160	1996	N	L	35	5	3.4	3.47
BY_MCPGP	3508	2006	N	L	88	37	8.6	14.3
FCACI200208PGP	4393	2007	N	L	140	20	19.4	16.6
SR5417PSP	9194	1999	N	L	87	170	18.9	20.3
1184326PIP	6594	2012	N	L	113	22	8.3	5
SR0205PSP	8965	1993	N	L	76	78	5.8	8.19
CHT2002019PGP	7049	2002	N	L	150	12	38	23.33
SR0205PSP	8965	1993	N	L	55	55	5.2	8.83
SR1008PSP	8990	2010	N	L	1	89	38.9	30.3
HEM_LAWR228PGP	12201	1999	N	L	13	14	43.4	22.4
SR0212PSP	8972	1994	N	L	1	60	22.3	16
NBCB021PGP	12360	2003	N	L	149	58	16.2	12.1
SR0204PSP	8964	1993	N	L	22	47	5.3	9.18
LSJP1994003PSP	3466	1994	N	L	150	13	4.6	5.11
SR0016PSP	8956	1995	N	L	49	40	3.6	4.92
SR1023PSP	9000	2010	N	L	11	89	40.8	26.7
SR4413PSP	9134	1999	N	L	53	123	26.3	20.1
SR1015PSP	8992	2005	N	L	34	88	22	17.1
SR0016PSP	8956	2000	N	L	59	40	7.5	7.9
CHT2002034PGP	7064	2002	N	L	151	12	45.2	26.57
SR2222PSP	9054	1994	N	L	56	30	16.8	15.91
FCDOM200334PGP	5498	2003	N	L	26	3	29	24.04
SR0206PSP	8966	1993	N	L	47	50	51.5	26.5
CE6204PSP	8874	1999	N	L	16	54	3.8	6.1
SR2207PSP	9046	2000	N	L	22	58	6.9	7.4
NOR2013002PSP	11781	2013	N	L	30	14	23.6	17.3
CE4124PSP	8844	1995	N	L	58	22	21.1	12.8
SUD2004003PGP	7572	2010	N	L	210	13	7.1	5.22
ARGS244PGP	12034	1982	N	L	18	19	36.1	17.98
SR0201PSP	8961	1992	N	L	74	42	26.5	15.6
FCDOM200231PGP	5458	2007	N	L	4	37	40.9	20.43
CE0003PSP	8649	2003	N	L	8	37	8.9	9.34
LD2902PGP	10650	2011	N	L	205	72	3.4	7
NBPWP031PGP	12386	2002	N	L	164	139	5.7	7.9
CE1008PSP	8715	1993	N	L	62	2	7.1	5.4
ARGS025PGP	11816	1977	N	L	2	75	27.2	23.16
SR0208PSP	8968	1993	N	L	8	68	6.9	3.63
SR1008PSP	8990	2006	N	L	80	89	40.3	27.8
SR1201PSP	9002	2007	N	L	33	46	36.8	26.9
SR5407PSP	9184	1995	N	L	23	94	11.1	10.7
GCF1994008PGP	7624	2000	N	L	47	13	25.4	18.54
SR1024PSP	9001	2010	N	L	79	40	20.5	21.3
FCNEE_KC2000145PGP	5218	2011	N	L	75	38	15.1	13.31
FCTEM2002006PGP	5833	2015	N	L	107	25	6.5	13.5
IFF1993009PSP	3361	2018	N	L	209	139	8.4	11.3
SR0405PSP	8982	1998	N	L	10	86	36.6	25.8
KAP1992001PGP	7569	1992	N	L	24	73	24.3	22.36
SR5004PSP	9147	1993	N	L	11	40	3	5.4
SR0019PSP	8957	2000	N	L	15	40	18	16.8
1253116PIP	6733	2012	N	L	15	12	15.2	12.9
SR5021PSP	9159	1995	N	L	22	42	3.8	4.48
