Species,Parameter,Estimate
Softwood,b_branches2,3.0038
Softwood,b_branches3,-1.052
Softwood,b_foliage1,0.1554
Softwood,b_foliage2,2.4021
Softwood,b_foliage3,-1.1043
All,b_wood1,0.0348
All,b_wood2,1.9235
All,b_wood3,0.7829
All,b_bark1,0.0139
All,b_bark2,1.5429
All,b_bark3,0.8189
All,b_branches1,0.0346
All,b_branches2,2.6706
All,b_branches3,-0.6033
All,b_foliage1,0.1822
All,b_foliage2,2.2864
All,b_foliage3,-1.1203
