plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
1122221	1	2022	Natural Stand	L 	13	664	7.4	5.4	7.3177	1.3624	2.7945	1.8007	4.5952	8.6801	13.2753
1122221	1	2022	Natural Stand	L 	13	665	8	5.3	8.9026	1.6227	3.1203	2.1183	5.2386	10.5253	15.764
1122221	1	2022	Natural Stand	L 	13	666	7.9	5.3	8.6254	1.5775	3.0653	2.0635	5.1288	10.203	15.3318
1122221	1	2022	Natural Stand	L 	13	667	7.1	5.2	6.5944	1.2416	2.6357	1.6519	4.2876	7.836	12.1236
1122221	1	2022	Natural Stand	L 	13	668	6.4	5.2	5.0795	0.9837	2.2758	1.3306	3.6064	6.0632	9.6696
1122221	1	2022	Natural Stand	L 	13	669	5.5	5	3.4698	0.7002	1.8368	0.9703	2.807	4.1701	6.9771
1122221	1	2022	Natural Stand	L 	13	670	6.9	5	6.1372	1.1645	2.5313	1.5564	4.0877	7.3017	11.3894
1122221	1	2022	Natural Stand	L 	13	671	6	4.9	4.3185	0.8512	2.0773	1.1631	3.2404	5.1697	8.4101
1122221	1	2022	Natural Stand	L 	13	672	5.4	4.8	3.3134	0.672	1.7897	0.9339	2.7236	3.9854	6.7089
1122221	1	2022	Natural Stand	L 	13	673	7.6	4.7	7.8253	1.4463	2.902	1.9036	4.8055	9.2716	14.0772
1122221	1	2022	Natural Stand	L 	13	674	4.6	4.4	2.2139	0.469	1.4266	0.6686	2.0952	2.6829	4.7781
1122221	1	2022	Natural Stand	L 	13	675	5.5	4.2	3.4698	0.7002	1.8368	0.9703	2.807	4.1701	6.9771
1122221	1	2022	Natural Stand	L 	13	676	3.8	4.1	1.3693	0.3056	1.0888	0.449	1.5378	1.6749	3.2127
1122221	1	2022	Natural Stand	L 	13	677	3.1	3.2	0.8206	0.1935	0.8164	0.2938	1.1101	1.0142	2.1243
1122221	1	2022	Natural Stand	L 	13	678	3	2.7	0.7557	0.1798	0.7794	0.2744	1.0537	0.9355	1.9892
1129066	1	2009	Natural Stand	L 	13	705	8.1	6.53	9.1851	1.6685	3.1756	2.1739	5.3495	10.8537	16.2032
1129066	1	2009	Natural Stand	L 	13	706	7.4	6.46	7.3177	1.3624	2.7945	1.8007	4.5952	8.6801	13.2753
1129066	1	2009	Natural Stand	L 	13	707	7	6.44	6.3634	1.2027	2.5833	1.6038	4.1871	7.5661	11.7532
1129066	1	2009	Natural Stand	L 	13	708	6.6	6.01	5.4881	1.054	2.377	1.4187	3.7958	6.5422	10.3379
1129066	1	2009	Natural Stand	L 	13	709	4.5	4.53	2.0948	0.4465	1.3829	0.6387	2.0216	2.5413	4.5629
1129066	1	2009	Natural Stand	L 	13	710	5.9	4.35	4.1398	0.8197	2.0285	1.1231	3.1516	4.9595	8.1111
